file,complexity
src/main/java/br/ufc/great/syspromocity/MvcConfig.java,1
src/main/java/br/ufc/great/syspromocity/SystemApplication.java,1
src/main/java/br/ufc/great/syspromocity/controller/AccessControlController.java,1
src/main/java/br/ufc/great/syspromocity/controller/CouponController.java,7
src/main/java/br/ufc/great/syspromocity/controller/CustomerController.java,7
src/main/java/br/ufc/great/syspromocity/controller/DashboardController.java,1
src/main/java/br/ufc/great/syspromocity/controller/PromotionController.java,7
src/main/java/br/ufc/great/syspromocity/controller/StoreController.java,7
src/main/java/br/ufc/great/syspromocity/controller/UserController.java,11
src/main/java/br/ufc/great/syspromocity/model/AbstractModel.java,11
src/main/java/br/ufc/great/syspromocity/model/Coupon.java,9
src/main/java/br/ufc/great/syspromocity/model/Customers.java,8
src/main/java/br/ufc/great/syspromocity/model/Promotion.java,11
src/main/java/br/ufc/great/syspromocity/model/Store.java,20
src/main/java/br/ufc/great/syspromocity/model/Users.java,6
src/main/java/br/ufc/great/syspromocity/repository/CouponsRepository.java,0
src/main/java/br/ufc/great/syspromocity/repository/CustomersRepository.java,0
src/main/java/br/ufc/great/syspromocity/repository/PromotionsRepository.java,0
src/main/java/br/ufc/great/syspromocity/repository/StoresRepository.java,0
src/main/java/br/ufc/great/syspromocity/repository/UsersRepository.java,0
src/main/java/br/ufc/great/syspromocity/security/WebSecurityConfig.java,3
src/main/java/br/ufc/great/syspromocity/service/AbstractService.java,6
src/main/java/br/ufc/great/syspromocity/service/CouponsService.java,1
src/main/java/br/ufc/great/syspromocity/service/CustomersService.java,1
src/main/java/br/ufc/great/syspromocity/service/PromotionsService.java,1
src/main/java/br/ufc/great/syspromocity/service/StoresService.java,1
src/main/java/br/ufc/great/syspromocity/service/UsersService.java,1
src/main/java/br/ufc/great/syspromocity/util/GeradorSenha.java,2
src/test/java/br/ufc/great/sysrepotd/SistemApplicationTests.java,9
src/main/java/br/ufc/great/syspromocity/util/Constantes.java,0
src/main/java/br/ufc/great/syspromocity/model/Authorities.java,4
src/main/java/br/ufc/great/syspromocity/repository/AuthoritiesRepository.java,0
src/main/java/br/ufc/great/syspromocity/service/AuthoritiesService.java,2
src/main/java/br/ufc/great/syspromocity/util/GeradorQRCode.java,6
src/main/java/br/ufc/great/syspromocity/util/ManipuladorDatas.java,1
src/main/java/br/ufc/great/syspromocity/controller/FileUploadController.java,7
src/main/java/br/ufc/great/syspromocity/model/MyStores.java,5
src/main/java/br/ufc/great/syspromocity/repository/MyStoresRepository.java,0
src/main/java/br/ufc/great/syspromocity/service/MyStoresService.java,2
